iter	Passed	Remaining
0	1	638
1	1	435
2	2	362
3	2	326
4	3	302
5	3	282
6	3	272
7	4	264
8	4	258
9	5	254
10	5	249
11	6	245
12	6	244
13	7	243
14	7	240
15	7	241
16	8	237
17	8	236
18	9	234
19	9	233
20	10	231
21	10	230
22	11	228
23	11	226
24	11	226
25	12	224
26	12	224
27	14	239
28	14	237
29	15	235
30	15	233
31	15	232
32	16	231
33	16	229
34	17	229
35	17	228
36	18	226
37	18	226
38	19	224
39	19	224
40	19	223
41	20	221
42	20	220
43	21	219
44	21	218
45	22	217
46	22	216
47	22	215
48	23	214
49	23	213
50	24	213
51	24	212
52	25	211
53	25	210
54	25	209
55	26	208
56	26	207
57	27	206
58	27	206
59	27	205
60	28	204
61	28	203
62	29	203
63	29	202
64	30	201
65	30	201
66	31	200
67	31	199
68	31	199
69	32	198
70	32	198
71	33	197
72	33	197
73	34	196
74	34	195
75	34	195
76	35	194
77	35	193
78	36	192
79	36	192
80	37	191
81	37	191
82	37	190
83	38	190
84	38	189
85	39	189
86	39	188
87	40	187
88	40	186
89	40	186
90	41	185
91	41	185
92	42	187
93	43	187
94	43	186
95	44	186
96	44	185
97	45	185
98	45	185
99	46	185
100	46	184
101	47	183
102	47	182
103	47	182
104	48	181
105	48	181
106	49	182
107	50	181
108	50	181
109	50	180
110	51	179
111	51	179
112	52	178
113	52	178
114	53	177
115	53	176
116	53	176
117	54	176
118	54	175
119	55	174
120	55	174
121	56	173
122	56	173
123	56	172
124	57	172
125	57	171
126	58	171
127	58	170
128	59	170
129	59	169
130	60	169
131	60	168
132	60	168
133	61	167
134	61	167
135	62	166
136	62	166
137	63	166
138	63	165
139	64	165
140	64	164
141	65	164
142	65	163
143	66	163
144	66	162
145	66	162
146	67	161
147	67	161
148	68	160
149	68	160
150	69	159
151	69	159
152	69	158
153	70	158
154	70	157
155	71	157
156	71	156
157	72	156
158	72	155
159	73	155
160	73	154
161	73	154
162	74	153
163	74	153
164	75	152
165	75	152
166	76	151
167	76	151
168	77	150
169	77	150
170	77	149
171	78	149
172	78	149
173	79	148
174	79	148
175	80	147
176	80	147
177	81	146
178	81	146
179	81	145
180	82	145
181	82	144
182	83	144
183	83	143
184	84	143
185	84	142
186	85	142
187	85	142
188	86	141
189	86	141
190	86	140
191	87	140
192	87	139
193	88	139
194	88	138
195	89	138
196	89	137
197	90	137
198	90	137
199	90	136
200	91	135
201	91	135
202	92	134
203	92	134
204	93	133
205	93	133
206	93	132
207	94	132
208	94	131
209	95	131
210	95	130
211	95	130
212	96	129
213	96	129
214	97	128
215	97	128
216	98	128
217	98	127
218	99	127
219	99	126
220	99	126
221	100	125
222	100	125
223	101	124
224	101	124
225	102	123
226	102	123
227	103	122
228	103	122
229	103	122
230	104	121
231	104	121
232	105	120
233	105	120
234	106	119
235	106	119
236	106	118
237	107	118
238	107	117
239	108	117
240	108	116
241	109	116
242	109	115
243	110	115
244	110	114
245	110	114
246	111	114
247	111	113
248	112	113
249	113	113
250	113	112
251	114	112
252	114	111
253	115	111
254	115	110
255	115	110
256	116	110
257	116	109
258	117	109
259	117	108
260	118	108
261	118	107
262	119	107
263	120	107
264	120	107
265	121	106
266	121	106
267	122	105
268	122	105
269	122	104
270	123	104
271	123	103
272	124	103
273	124	102
274	125	102
275	125	101
276	126	101
277	126	101
278	127	100
279	127	100
280	127	99
281	128	99
282	128	98
283	129	98
284	129	97
285	130	97
